version	total
1.1.809	1624
1.1.814	1599
1.1.822	1588
1.1.824	1594
1.1.825	1587
1.1.835	1589
1.1.860	1570
1.1.862	1592
1.1.911	1598
1.1.916	1591
1.1.918	1559
1.1.930	1530
1.1.944	1533
1.1.988	1513
1.1.997	1493
1.1.1011	1513
1.1.1027	1495
1.1.1029	1491
1.1.1044	1473
1.1.1065	1476
1.1.1073	1462
1.1.1101	1406
1.1.1121	1409
1.1.1125	1408
1.1.1146	1404
1.1.1167	1411
1.1.1172	1405
1.1.1185	1396
1.1.1194	1389
1.1.1198	1400
1.1.1200	1385
1.1.1207	1386
1.1.1216	1381
1.1.1218	1379
1.1.1225	1342
1.1.1264	1337
1.1.1272	1336
1.1.1277	1329
1.1.1282	1328
1.1.1301	1335
1.1.1306	1304
1.1.1310	1298
1.1.1316	1285
1.1.1342	1269
1.1.1350	1270
1.1.1360	1260
1.1.1367	1263
1.1.1393	1326
1.1.1395	1261
1.1.1412	1260
1.1.1423	1255
1.1.1437	1248
1.1.1467	1245
1.1.1474	1244
1.1.1476	1242
1.1.1478	1236
1.1.1495	1232
1.1.1499	1232
1.1.1508	1233
1.1.1514	1220
1.1.1527	1191
1.1.1530	1182
1.1.1533	1176
1.1.1535	1174
1.1.1542	1173
1.1.1558	1174
1.1.1566	1160
1.1.1571	1165
1.1.1598	1148
1.1.1608	1149
1.1.1626	1137
1.1.1641	1129
1.1.1644	1120
1.1.1648	1120
1.1.1651	1124
1.1.1660	1116
1.1.1666	1112
1.1.1673	1086
1.1.1682	1092
1.1.1685	1083
1.1.1689	1079
1.1.1691	1055
1.1.1703	1041
1.1.1745	1045
1.1.1747	1012
1.1.1749	1003
1.1.1755	990
1.1.1774	987
1.1.1780	984
1.1.1794	978
1.1.1815	974
1.1.1834	971
1.1.1846	967
1.1.1855	963
1.1.1879	966
1.1.1881	936
1.1.1909	938
1.1.1917	930
1.1.1921	935
1.1.1923	927
1.1.1930	928
1.1.1934	920
1.1.1942	923
1.1.1957	913
1.1.1971	903
1.1.1974	894
1.1.1979	895
1.1.1988	886
1.1.1998	888
1.1.2004	878
1.1.2013	872
1.1.2017	862
1.1.2023	859
1.1.2025	856
1.1.2031	844
1.1.2036	847
1.1.2097	817
1.1.2109	807
1.1.2112	787
1.1.2119	782
1.1.2123	784
1.1.2133	779
1.1.2138	768
1.1.2141	768
1.1.2145	792
1.1.2155	766
1.1.2173	759
1.1.2175	759
1.1.2180	762
1.1.2184	762
1.1.2189	759
1.1.2191	745
1.1.2195	744
1.1.2199	750
1.1.2204	734
1.1.2208	734
1.1.2226	725
1.1.2229	721
1.1.2232	711
1.1.2236	702
1.1.2244	689
1.2.12	709
1.2.16	708
1.2.31	703
1.2.50	674
1.2.71	667
1.2.108	645
1.2.111	646
1.2.122	628
1.2.142	628
1.2.166	624
1.2.174	600
1.2.181	570
1.2.185	576
1.2.188	549
1.2.197	539
1.2.205	522
1.2.211	519
1.2.216	513
1.2.218	517
1.2.221	529
1.2.223	481
1.2.230	460
1.2.243	439
1.2.249	426
1.2.252	426
1.2.257	409
1.2.261	401
1.2.264	389
1.2.270	338
1.2.298	318
1.2.347	318
1.2.366	313
1.2.408	308
1.2.435	310
1.2.437	309
1.2.445	317
1.2.464	311
1.2.497	307
1.2.500	310
1.2.502	313
1.2.503	311
1.2.515	310
1.2.517	316
1.2.520	294
1.2.558	292
1.2.561	305
1.2.567	271
1.2.582	263
1.2.589	242
1.2.602	238
1.2.611	236
1.2.698	235
1.2.701	212
1.2.716	199
1.2.720	192
1.2.735	200
1.2.740	198
1.2.744	198
1.2.749	203
1.2.772	193
1.2.783	210
1.2.796	190
1.2.802	193
1.2.814	198
1.2.838	197
1.2.841	191
1.2.846	197
1.2.856	198
1.2.869	197
1.2.871	195
1.2.878	189
1.2.883	195
1.2.888	196
1.2.902	187
1.2.909	189
1.2.911	189
1.2.918	190
1.2.923	183
1.2.931	185
1.2.942	184
1.2.944	184
1.2.947	200
1.2.980	178
1.2.983	182
1.2.985	185
1.2.1007	138
1.2.1018	143
1.2.1022	141
1.2.1027	143
1.2.1034	139
1.2.1045	131
1.2.1053	129
1.2.1056	145
1.2.1135	143
1.2.1139	64
1.2.1144	68
1.2.1153	67
1.2.1168	59
1.2.1173	62
1.2.1175	64
1.2.1187	70
1.2.1240	60
1.2.1242	44
1.2.1247	41
1.2.1293	59
1.2.1527	38
1.2.1531	39
1.2.1538	29
1.2.1540	39
1.2.1557	26
1.2.1560	30
1.2.1564	42
1.2.1576	34
1.2.1594	32
1.2.1597	31
1.2.1602	41
1.2.1621	24
1.2.1644	26
1.2.1675	24
