version	total
0.1.3	3660
0.1.4	3654
0.2.1	3612
0.2.2	3777
0.3.0	5198
0.3.1	3950
0.4.1	3872
0.4.2	3929
0.4.3	3903
0.4.4	3827
0.4.5	3834
0.4.6	3678
0.4.7	3653
0.4.8	3607
0.4.9	3543
0.4.10	3335
0.4.11	4531
0.5.0	3382
0.6.0	3436
0.6.1	4162
0.6.2	4624
0.6.3	3396
0.7.1	4355
0.7.2	3293
0.8.0	4363
0.8.1	5510
0.8.2	4927
0.9.0	1872
0.10.0	1874
0.10.1	1800
0.10.2	3124
0.10.3	1810
0.10.4	19118
0.10.5	1434
0.10.6	1471
0.10.7	1323
0.10.8	1413
0.10.9	1411
0.10.10	2085
0.10.11	2076
0.10.12	4050
0.10.13	3092
0.10.14	9828
0.10.15	24167
0.11.0	18992
0.11.1	14717
0.11.2	1603
