version	total
0.0.39	4608
0.0.40	4601
0.0.41	4632
0.0.42	4643
0.0.43	4605
0.0.44	4592
0.0.45	4478
0.0.48	4447
0.0.49	4461
0.0.50	4454
0.0.51	5471
0.0.52	4757
0.0.53	2825
0.0.54	2815
0.0.55	2913
0.0.56	2794
0.0.57	2810
0.0.58	2839
0.0.59	2841
0.0.60	2814
0.0.61	2810
0.0.62	2830
0.0.63	2833
0.0.64	3094
0.0.65	2834
0.0.66	6339
0.0.67	2898
0.0.69	2792
0.0.70	5064
0.0.71	5079
0.0.72	2789
0.0.73	2804
0.0.74	2798
0.0.75	2787
0.0.76	16204
0.0.77	3950
0.0.78	2830
0.0.79	3404
0.0.80	2791
0.0.81	2780
0.0.83	2781
0.0.84	2896
0.0.85	2950
0.0.86	2849
0.0.87	2838
0.0.88	2824
0.0.89	3143
0.0.92	2946
0.0.93	2761
0.0.94	2754
0.0.95	3496
0.0.96	4258
0.0.97	2863
0.0.98	2861
0.0.99	2910
0.0.100	2973
0.0.101	3110
0.0.103	2825
0.0.104	8908
0.0.108	2731
0.0.109	2735
0.0.110	2778
0.0.111	8859
0.0.112	2997
0.0.113	3622
0.0.115	4233
0.0.117	5331
0.0.120	5942
0.0.124	2745
0.0.125	1842
0.0.127	3808
0.0.128	1571
0.0.129	25195
0.1.2	7837
0.1.4	8162
