version	total
0.7.7	8557
0.8.3	32969
0.8.4pre0	7608
0.8.4	26097
0.9.0	41254
0.9.1	67163
0.9.1.4	24639
0.10.0	32749
0.11.0	8609
0.11.1	18698
0.11.2.1	13468
0.11.2.2	64510
0.12.0.1	36549
0.13.0	25127
0.14.0	25515
0.14.1	134379
0.15.0	1089076
0.15.0.1	139472
0.15.1	72695
0.15.2	308497
0.15.3	530765
0.15.4	161176
0.16.0	86542
0.16.0.1	499897
0.17.0	270067
0.18.0	213680
0.19.0	102812
0.19.1	417117
0.20.0	170676
0.21.0	539625
0.22.0	184279
0.22.1	569794
0.23.0	136436
0.23.1	60399
0.23.2	43733
0.23.3	104228
