version	total
0.1.1	3089
0.1.2	3064
0.1.3	3014
0.1.4	3013
0.1.5	3037
0.1.6	2997
0.1.7	3010
0.1.8	3319
0.1.9	20169
0.1.10	2965
0.1.11	2985
0.1.12	2943
0.1.13	2942
0.1.14	3006
0.2.3	3034
0.2.4	2992
0.2.5	2973
0.2.6	3292
0.3.13	3465
0.3.14	2476
0.3.15	2432
0.3.16	2397
0.4.3	2881
0.4.4	2866
0.4.5	3095
0.5.0	3236
0.6.8	2449
0.6.9	2199
0.6.10	1991
0.6.11	1957
0.6.12	2317
0.6.13	1826
0.6.15	2023
0.6.16	2128
0.6.17	1575
0.6.18	1619
0.6.19	1541
0.6.20	1479
0.6.21	1491
0.6.22	1491
0.6.23	1491
0.7.0	1444
0.7.1	1502
0.7.2	1541
0.7.3	1804
0.7.4	356
0.7.5	460
