version	total
0.1.1	5130
0.5.3	5263
0.5.9	5687
0.7.2	8823
0.9.9	4931
0.9.11	4968
0.10.9	5343
0.11.5	3015
0.11.7	3029
0.11.8	3027
0.11.10	3008
0.11.11	3016
0.11.12	3015
0.11.13	3053
0.11.14	3047
0.11.15	3017
0.11.16	3013
0.11.17	3007
0.11.18	3063
0.11.19	2999
0.11.20	3363
0.11.21	3004
0.11.22	3006
0.11.23	3047
0.12.0	3017
0.12.1	2996
0.12.2	3010
0.12.3	3004
0.12.4	2992
0.12.5	3327
0.12.6	3399
0.12.7	2998
0.12.8	3290
0.12.9	2977
0.12.10	2977
0.12.13	2983
0.12.14	2963
0.12.15	2955
0.12.16	2956
0.13.2	2984
0.13.4	3005
0.14.17	3360
0.14.18	2791
0.14.19	2842
0.14.20	2727
0.14.21	2733
0.14.22	2762
0.14.23	2934
0.15.0	2621
0.16.1	2396
0.16.2	1952
0.16.3	1966
0.16.4	2188
0.16.5	1954
0.17.0	2124
0.18.0	1858
0.18.1	439
