version	total
0.2.8	5091
0.2.9	5008
0.2.16	4952
0.2.19	2940
0.3.0	2957
0.3.1	2952
0.3.2	2959
0.3.3	2951
0.3.4	2973
0.3.5	3010
0.3.6	3041
0.3.7	3091
0.3.8	3009
0.3.9	2951
0.3.10	2887
0.3.11	2820
0.3.12	2813
0.4.0	3026
0.4.1	3018
0.4.2	2986
0.4.3	2928
0.4.4	19862
0.4.5	2939
0.4.6	2969
0.4.7	2915
0.4.8	3020
0.4.9	2953
0.4.10	2714
0.4.11	2763
0.5.0	2851
0.5.1	3593
0.5.2	2834
0.5.3	2742
0.5.4	2832
0.5.5	2957
0.6.0	3170
0.6.6	2361
0.6.7	2056
0.6.8	2295
0.6.9	1921
0.6.10	1928
0.6.11	1470
0.6.12	1457
0.6.13	1462
0.6.14	1491
0.6.15	1440
0.6.16	1338
0.6.17	1346
0.6.18	1358
0.7.1	1342
0.7.2	1306
0.7.3	1367
0.7.4	1294
0.7.5	1261
0.7.6	1325
0.7.7	1664
0.7.8	437
