version	total
0.4.1	2705
0.4.2	2640
0.4.3	2992
0.4.5	2670
0.4.6	2641
0.4.7	2638
0.4.9	2659
0.4.10	2631
0.4.13	2646
0.4.14	2658
0.4.19	2656
0.4.20	2607
0.4.22	2846
0.5.14	2825
0.5.15	3016
0.6.0	2613
0.6.1	2604
0.6.2	2621
0.6.3	2555
0.7.0	2525
0.7.1	2524
0.7.2	2685
0.8.0	2733
0.10.0	1750
0.10.1	2035
0.10.2	1627
0.10.3	1587
0.10.4	1766
0.10.5	1421
0.10.8	1423
0.10.9	1582
0.10.10	1520
0.11.0	1248
0.11.1	1235
0.11.2	1232
0.12.0	1174
0.12.1	1127
0.12.2	1127
0.12.3	1128
0.12.4	1120
0.13.0	1147
0.14.1	523
0.14.2	412
0.15.0	511
0.15.1	341
0.15.2	609
0.15.3	55
