version	total
0.28.13	2942
0.28.14	2943
0.29.0	2883
1.0.1	2878
1.0.2	2880
1.0.3	2874
1.1.0	2897
1.1.1	2867
1.1.2	2878
1.2.0	2929
1.2.1	2868
1.3.0	2932
1.3.1	2866
1.3.2	2951
1.3.3	3118
1.3.4	2714
1.3.5	2609
1.4.1	2600
1.4.2	2586
1.5.1	2554
1.5.2	2483
1.6.0	2471
1.6.1	2466
1.6.2	2472
1.6.3	2451
1.7.0	2457
1.8.0	2444
1.8.1	2472
1.9.0	2305
1.9.1	2321
1.10.0	2376
1.12.1	1622
1.12.2	1093
1.13.0	1049
1.13.1	1012
1.13.2	1005
1.14.0	1060
1.14.1	657
1.15.0	564
1.15.1	260
1.16.0	197
1.16.1	226
2.0.0	50
2.1.1	33
