version	total
1.2.1	3023
1.2.2	3017
1.2.3	3026
1.2.4	3011
1.2.5	3027
1.3.0	3018
1.3.1	2996
1.3.2	3002
1.3.3	3007
1.4.0	2995
1.4.1	3011
1.4.2	2993
1.4.3	3085
1.4.4	3286
1.4.5	2987
1.4.6	2974
1.4.7	2986
1.4.8	2960
1.4.9	2969
1.4.10	1844
1.5.0	2853
1.5.1	2831
1.5.2	2833
1.5.3	2837
1.6.0	2829
1.6.1	2820
1.6.2	2815
1.6.3	2786
1.6.4	2697
1.6.5	2669
1.7.0	2603
1.7.1	2465
1.7.2	2519
1.8.0	2382
1.8.1	2365
1.8.2	2306
1.8.3	2334
1.9.0	1811
1.9.1	1971
1.9.2	1554
1.9.3	1540
1.9.4	1422
1.10.0	1310
1.10.1	1415
1.11.0	804
1.11.1	981
1.12.0	80
1.12.1	37
1.12.2	64
