version	total
0.1.1	5149
0.1.2	5140
0.1.3	5156
0.2.1	4922
0.2.2	4904
0.2.3	4905
0.2.4	4917
0.2.5	5317
0.2.6	5037
0.2.7	5107
0.2.8	4800
0.2.9	4897
0.3.0	4648
0.4.0	4674
0.4.1	4553
0.5.0	4771
0.6.0	4476
0.8.0	4594
0.8.1	4169
0.8.2	4277
0.9.0	4031
0.9.1	3825
0.9.2	5031
0.10.0	3772
0.10.1	3743
0.10.2	3848
0.10.3	3671
0.11.0	3692
0.12.1	3467
0.12.2	3439
0.13.0	3449
0.14.0	3371
0.14.1	3380
0.14.2	3357
0.14.3	3288
0.15.0	3270
0.15.1	3299
0.16.0	3349
0.17.0	3184
0.18.0	3166
0.18.1	3249
0.19.0	3158
0.19.1	3243
0.19.2	3366
0.19.3	3178
0.19.4	3172
0.19.5	3204
0.19.6	3235
0.20.0	3215
0.20.1	3513
0.20.2	3199
0.20.3	4625
0.20.4	3162
0.20.5	3258
0.21.0	3164
0.21.1	3258
0.22.0	3057
0.23.0	2928
0.24.0	2900
0.24.1	3843
0.25.0	2968
0.26.0	2842
0.26.1	2840
0.27.0	2851
0.28.0	2821
0.29.0	3129
0.30.0	2303
0.30.1	2316
0.30.2	2283
0.31.0	2297
0.32.0	2288
0.33.0	2274
0.33.1	2291
0.34.0	2292
0.35.0	1810
0.36.0	1863
0.37.0	2157
0.38.0	1878
0.38.1	1886
0.38.2	2671
0.38.3	2639
0.39.0	2973
0.39.1	5614
0.40.0	2687
0.41.0	2706
0.42.0	2278
0.42.1	845
0.42.2	1825
