version	total
0.5.1	5537
0.6.0	18993
0.7.2	8271
0.8.0	6572
0.8.1	19839
0.8.2	10320
0.9.0	5788
0.9.1	14234
0.10.0	5725
0.10.1	7902
0.10.2	7673
0.11.0	5378
0.11.1	5324
0.11.2	7135
0.11.3	8834
0.12.0	10755
0.13.0	5951
0.13.1	32264
0.14.0	6405
0.14.1	12144
0.14.2	32894
0.15.0	6503
1.0.0	6020
1.1.0	26848
1.2.0	15132
1.2.1	24571
1.3.0	14327
1.4.0	44818
1.5.0	4509
1.5.1	5957
1.5.2	9829
1.6.0	28013
1.7.0	8724
1.8.0	7839
1.9.0	14467
1.10.0	3725
1.10.1	14630
1.10.2	17091
1.10.3	75443
1.11.4	11209
1.12.0	321
1.12.1	365
2.0.0	377
2.0.1	3255
2.1.0	5012
2.1.1	2346
2.1.2	1857
2.2.1	2805
2.3.0	1069
2.3.1	3150
2.3.2	2019
2.3.3	2066
