version	total
0.1.12	6982
0.1.13	5905
0.1.14	5856
0.1.15	5240
0.1.16	48724
0.1.17	9939
0.1.18	26140
0.1.19	192154
1.0	62366
1.1	16231
1.2.rglab	5581
1.2	32136
1.3	32731
1.3.1	744796
1.4	16523
1.4.1	50243
1.5	136202
1.6	352134
1.7	257074
1.8	136137
1.9	2001945
1.10	317488
1.11	149865
1.12	227482
1.13	137730
1.14	278091
1.15	145530
1.15.1	514565
1.16.1	367195
1.17	479316
1.18	442176
1.19	51838
1.19.1	35557
1.19.2	168991
1.20	381668
1.21	649023
1.22	81955
1.22.1	260569
1.23	192485
1.23.1	281092
1.24	204119
