version	total
0.1.1	2773
0.1.2	2763
0.2	3028
0.3	3024
0.4	3020
0.4.1	2763
0.4.2	2781
0.5.0	2838
0.6.0	2823
0.6.1	2909
0.7.0	2905
0.7.1	2842
0.8.0	2855
0.9.0	2780
0.9.1	2783
0.10.0	2728
0.10.1	2996
0.11.0	2420
0.11.1	2437
0.11.2	2204
0.12.0	2323
0.12.1	1785
0.12.2	1889
0.13.0	2088
0.13.1	1597
0.14.0	1285
0.15.0	1051
0.16.0	1096
0.16.1	1378
0.17.0	835
0.17.1	740
0.17.2	897
0.18.0	798
0.19.0	736
0.20.0	333
0.20.1	297
0.21.0	198
0.22.0	411
0.22.1	535
0.22.2	122
0.22.3	663
0.22.4	345
0.22.5	218
0.23.0	136
0.24.0	34
