version	total
2.1.4	10256
2.9.0	8708
3.1.4	19623
3.2.3	36837
3.2.5	8084
3.2.6	7653
3.2.7	37515
3.2.8	37561
3.2.11	37130
3.2.13	8494
3.2.20	65875
3.2.24	64883
3.2.26	65046
3.3.1	74719
3.3.3	12464
3.3.5	12353
3.3.6	12212
3.3.9	33881
3.3.10	25171
4.0.1.alpha	24161
4.0.4	3697
4.0.7	3156
4.0.12	3370
4.0.22	3703
4.0.25	3670
4.0.32	3115
4.0.33	3275
4.0.41	3547
4.1.24	2119
4.2.9	1558
4.2.14	1634
4.2.17	108998
4.3.0	1165
4.3.1	1173
4.3.3	1046
4.3.5	1031
4.3.6	903
4.3.9	703
4.3.11	688
4.3.14	283
4.3.15	252
