version	total
201603.02	11557
201606	11404
201611	6424
201611.03	5774
201704	6208
201704.02	5779
201704.03	6007
201711	6190
201711.01	7264
201711.02	5900
201711.03	6547
201711.04	12191
201808	5871
201808.01	5575
201808.02	5107
201808.03	5880
201808.05	5238
201808.07	5112
201808.08	6384
201911	164
202010.02	3954
202010.04	3479
202112	4110
202112.01	3380
202112.02	6906
202112.04	9766
202112.05	25697
202112.06	22451
202112.07	21193
202308	15991
202308.01	2212
202308.02	1578
202308.03	3356
202503	427
202503.01	11811
202503.02	23298
202503.03	13671
