version	total
0.0.0	2612
0.0.1	2654
0.0.2	2614
0.0.3	2612
0.1.0	2606
0.2.0	2633
0.2.1	2623
0.2.2	2879
0.2.3	2630
0.3.0	2636
0.3.1	2624
0.3.2	2630
0.4.0	2882
0.4.1	2634
0.4.2	2626
0.4.3	2630
0.5.0	2625
0.5.1	2619
0.5.2	2619
0.5.3	2606
0.5.4	2584
0.5.5	2530
0.5.6	2475
0.6.0	2404
0.6.1	2398
0.7.0	2329
0.7.1	2305
0.7.2	2286
0.8.0	2170
0.9.0	2142
0.9.1	2152
0.9.2	2309
0.9.3	2077
0.9.4	2043
0.9.5	1950
0.9.6	1862
0.9.7	1766
0.9.8	1693
0.9.9	1491
1.0.0	1529
1.0.2	1276
1.0.3	1259
1.0.4	1169
1.1.0	1155
1.2.0	1152
1.2.1	1082
1.2.2	962
