version	total
0.3.4.1	5452
0.4.3	4618
0.4.4	4656
0.4.5	4638
0.5.0	4575
0.5.1	4614
0.5.2	4602
0.5.3	4613
0.5.4	4636
0.5.5	4794
0.6.0	5766
0.7.0	5760
0.7.1	5902
0.7.2	6517
0.8.0	7925
0.8.1	5972
0.9.0	5426
0.9.1	5788
0.9.2	5444
0.9.3	5492
0.10.0	6805
0.10.1	7254
0.10.2	5325
0.11.0	10117
0.12.0	21329
0.12.1	11583
0.13.0	3653
0.13.1	3762
0.13.2	8784
0.14.0	50083
0.15.0	9660
0.16.0	6239
0.16.1	17422
2.0.0	72442
2.1.0	15185
2.2.0	35267
2.3.0	9471
2.3.1	31244
2.4.0	21635
2.5.0	6225
2.5.1	18641
2.6.0	2446
2.6.1	7173
2.7.0	6871
2.8.0	4804
2.8.1	9324
2.8.2	31009
2.9.0	26535
2.10.0	37951
2.10.1	28589
2.11.0	4219
2.12.0	3892
