version	total
1.3.0	2430
1.3.1	2134
1.4.0	2394
1.4.1	2080
1.4.2	2076
1.4.3	2077
1.4.4	2103
1.4.5	2085
1.4.6	2076
1.4.7	2080
1.4.8	2080
1.4.9	2082
1.4.10	2916
1.4.11	2934
1.4.12	2908
1.4.14	3215
1.5.0	2620
1.5.2	2620
1.5.3	2621
1.5.4	2624
1.5.6	2608
1.5.7	2610
1.5.8	2619
1.5.9	2610
1.5.10	2602
1.5.11	2596
1.6.0	2611
1.6.1	2578
1.6.2	2577
1.6.3	2541
1.6.4	2848
2.0	2858
2.0.1	2281
2.0.2	2222
2.1	2531
2.2	2496
3.0	2760
3.1	2427
3.2	2316
3.3	2555
3.4	2250
4.0	3934
4.1	2298
4.2	1639
4.3	1579
4.4	651
4.5	433
