version	total
0.7.2	8795
0.15.0	5454
0.15.2	5763
0.16.0	5495
0.17.0	5466
0.17.1	5396
0.17.2	5437
0.17.3	5345
0.17.4	5339
0.17.5	5387
0.17.7	5804
0.18.2	6780
0.20.0	5309
0.20.2	5273
0.20.3	5268
0.21.0	6000
0.22.0	2683
0.23.0	2686
0.23.1	2679
0.23.2	2670
0.23.3	2652
0.24.0	2645
0.24.5	2662
0.25.0	2678
0.25.1	2658
0.26.0	2650
0.27.0	2639
0.28.0	2639
0.28.1	2638
0.29.0	2557
0.29.1	2548
0.29.2	2548
0.29.3	2553
1.0.0	2621
1.0.1	3010
1.0.2	2613
1.0.3	2613
1.0.4	2641
1.0.5	2639
1.0.6	2626
1.0.7	2633
1.0.9	2617
1.1.0	2616
1.1.1	2737
2.0.1	2595
2.2.0	2590
2.2.1	2583
2.3.0	2660
2.4.0	2569
2.5.0	2682
2.5.1	2443
2.6.0	2457
2.7.0	2444
2.8.0	2503
2.8.1	1976
2.9.0	1981
2.9.1	1963
2.9.2	1305
2.10.0	368
2.10.1	348
2.10.2	344
2.10.3	353
2.11.0	535
2.11.1	189
2.11.2	78
