version	total
0.2.1	2210
0.3.0	2197
0.4.0	2004
0.5.0	1941
0.5.1	1928
0.5.2	1919
0.5.3	1868
0.6.0	1902
0.7.0	1875
0.8.1	1696
0.9.0	1570
0.10.0	2256
0.11.1	1810
0.12.0	1808
0.13.0	1886
0.14.0	1739
0.14.1	1885
0.15.0	1447
0.15.1	1585
0.16.0	1226
0.16.1	1234
0.16.2	1423
0.17.0	1391
0.17.1	1094
0.17.2	1287
0.17.3	753
0.17.4	1104
0.18.0	1136
0.18.1	739
0.18.2	738
0.18.4	1191
0.19.0	769
0.19.1	695
0.19.2	761
0.19.3	657
0.19.4	797
0.19.5	1267
0.20.0	559
0.21.0	468
0.21.1	412
0.22.0	375
0.23.0	353
0.23.2	465
0.24.0	401
