version	total
0.1.4	1188
0.1.5	1113
0.2.0	1027
0.2.1	1022
0.3.0	1013
0.3.1	971
0.3.2	966
0.4.1	1076
0.4.2	963
0.4.4	846
0.4.5	896
0.5.0	878
0.5.1	779
0.5.2	739
0.6.0	1240
0.7.0	802
0.8.0	988
0.9.0	739
0.10.0	897
0.10.2	801
0.11.0	918
0.11.1	1092
0.11.2	2649
0.12.0	672
0.12.1	531
0.14.0	530
0.14.1	545
0.14.2	686
0.14.3	484
0.15.0	1692
0.15.1	1345
1.0.0	271
1.0.1	285
1.1.0	787
1.2.0	219
1.2.1	992
1.2.2	209
1.2.4	174
1.2.5	3406
1.2.11	1490
1.3.6	1023
1.4.0	3005
1.5.0	863
1.6.0	1858
1.6.1	1227
1.7.0	1045
1.8.0	3311
1.9.2	2808
2.0.0	2062
2.0.3	2627
2.1.0	3419
2.2.0	2200
2.3.1	1201
2.5.3	151
2.5.4	1944
2.6.0	1089
2.6.1	311
