version	total
5.2.1	5902
5.2.2	8120
5.2.4	12715
5.3.0	17494
5.3.1	4039
5.4.0	8651
5.4.1	2290
5.4.2	6158
5.4.3	11039
5.4.4	8148
5.4.5	8139
5.5.0	5371
5.5.1	2574
5.5.2	3358
5.5.3	3495
5.5.4	16107
5.6.0	4675
5.7.0	3230
5.7.1	8610
5.7.4	3255
5.8.1	7088
5.8.2	2622
5.9.1	4485
5.10.0	15176
5.11.0	2667
5.11.1	5568
5.11.2	3074
5.12.1	2671
5.12.2	2653
5.12.3	3078
5.13.0	12857
5.14.0	4862
5.15.0	3219
5.16.0	3408
5.17.0	4563
5.18.0	3179
5.18.1	5160
5.19.0	3359
5.19.1	2703
5.19.2	3306
5.19.3	4210
5.20.0	3036
5.20.1	9045
5.21.0	2854
5.22.0	2850
5.22.1	4497
5.23.0	4281
5.24.0	3386
5.24.1	2790
5.24.2	3428
5.25.0	4316
5.26.0	10606
5.26.1	7161
5.27.4	5125
5.28.0	3419
5.29.0	2875
5.30.1	4615
5.30.2	4403
5.31.0	3220
5.31.1	5801
5.32.0	5723
5.32.1	3408
5.32.2	10871
6.0.0	2898
6.0.1	1974
6.0.2	4338
6.0.3	2638
6.0.5	8535
6.1.0	2796
6.1.1	3683
6.1.2	3058
6.2.0	1956
6.2.1	9850
6.3.0	5855
6.4.0	6479
6.4.1	9563
6.5.0	3151
6.5.1	5269
6.5.2	3747
6.5.3	5840
6.6.0	3589
6.6.1	14251
6.7.0	13588
6.8.0	47240
6.8.1	4547
6.8.2	2583
6.9.0	2533
6.9.1	7414
6.10.0	10638
6.11.0	2512
6.11.1	2437
6.12.0	2379
6.12.1	6744
6.12.2	2948
6.12.3	6034
6.13.0	2454
6.13.1	5085
6.14.0	2815
6.15.0	2355
6.15.1	2879
6.15.2	2210
6.15.3	2994
6.15.5	17490
7.0.0	3212
7.0.1	2703
7.0.2	2276
7.0.3	2348
7.0.4	5129
7.1.0	2422
7.1.1	6607
7.2.1	3923
7.3.0	3003
7.3.1	3479
7.3.2	4105
7.3.3	2731
7.3.4	3914
7.3.5	2153
7.3.6	4805
7.3.7	3002
7.3.8	7553
7.5.0	2916
7.6.0	2389
7.6.1	3858
7.6.2	4338
7.7.0	4222
7.8.0	3674
7.8.1	7276
7.8.2	7793
7.8.3	5150
7.8.5	8816
7.9.0	4878
7.11.0	2035
7.12.0	8854
7.12.1	14180
7.14.0	15544
7.14.1	2716
7.14.2	3910
7.15.1	3189
7.15.2	6153
7.16.0	12419
7.17.0	2507
7.17.1	6907
7.18.0	2246
7.18.1	7032
7.18.2	25498
7.19.0	2321
7.19.1	21935
7.20.0	8854
7.21.0	5594
7.22.0	12528
7.24.0	28259
7.24.2	9201
7.25.0	21167
7.25.1	1620
7.25.2	5041
7.25.3	30467
7.25.4	9602
7.26.0	15331
7.28.1	3177
7.28.2	4720
7.28.3	10517
7.29.0	2194
7.30.0	2778
7.30.1	16207
7.30.2	4606
7.31.0	6411
7.31.1	3221
7.32.0	3935
7.32.1	1951
7.32.2	3291
7.32.3	21978
7.32.4	128133
8.0.0	1082
8.0.1	1986
8.1.0	1108
8.1.1	936
8.1.2	904
8.1.3	1614
8.2.0	1009
8.2.1	1106
8.2.3	1402
8.3.2	1209
8.4.0	894
8.4.1	810
8.4.2	1210
8.4.3	949
8.4.4	835
8.4.6	840
8.4.7	964
8.4.8	1367
8.4.9	785
8.4.11	1411
8.4.12	1369
8.5.1	818
8.5.2	855
8.5.3	1992
8.5.4	929
8.5.5	1427
8.6.0	2872
8.7.0	978
8.8.0	1025
8.9.0	1542
8.10.0	2132
8.10.4	1765
8.10.5	823
8.10.6	1918
8.10.7	2766
8.10.8	5105
8.11.0	1359
8.11.1	1727
8.11.3	4350
8.11.6	1823
8.12.0	3235
8.13.0	1581
8.14.0	6554
8.15.0	705
8.15.1	806
8.15.2	2587
8.16.0	8099
8.17.0	3281
8.18.0	1449
8.18.1	1121
8.18.2	3945
8.20.1	625
8.20.3	3602
8.20.4	1642
8.20.5	3506
8.20.6	1910
8.20.7	636
8.21.0	892
8.22.0	528
8.23.0	1407
8.23.1	897
8.23.2	1201
8.24.0	1220
8.24.1	10634
8.25.0	1197
8.25.1	1473
8.25.2	1799
8.25.3	5337
8.25.4	848
8.25.5	14878
8.26.0	1719
8.27.0	188
8.27.1	10878
8.28.0	24344
8.29.0	1063
8.29.1	120
8.29.2	761
8.29.3	572
8.30.0	5739
9.0.1	543
9.1.1	1541
9.1.2	807
9.1.3	1602
9.1.4	1494
9.1.5	75
9.1.6	1979
9.1.7	568
9.1.9	1255
9.1.10	334
9.1.11	97
9.2.0	2045
9.3.0	2089
9.3.1	848
9.3.2	556
9.3.3	2679
9.3.4	3298
9.3.5	556
9.4.0	2014
9.4.1	669
9.5.0	395
9.5.1	5344
9.6.0	2087
9.6.1	766
9.6.2	4908
9.7.1	3386
9.8.0	4020
9.8.1	2052
9.8.2	561
9.9.0	7853
9.10.0	648
9.10.1	1565
9.11.0	70
9.11.1	834
9.11.2	797
