version	total
3.4.2	6622
3.5.1	5517
3.5.2	5561
3.5.3	5557
3.5.4	6568
3.5.5	7651
3.6.0	6971
3.6.1	7847
3.7.0	5661
3.7.1	8526
3.8.0	11540
3.8.1	11392
3.8.2	8933
3.9.0	8462
3.9.1	6911
3.10.0	6763
3.10.1	9252
3.10.2	7337
3.11.0	8522
3.11.1	8050
3.11.2	13795
3.12.0	8739
3.13.0	7314
3.13.2	6615
3.13.3	31160
4.0.0	18025
4.1.0	6524
4.2.0	6873
4.3.0	8910
4.3.1	7660
4.4.0	8200
4.5.0	6608
4.5.1	6298
4.6.0	7115
4.7.0	7931
4.8.0	8380
4.8.1	7408
5.0.0	6258
5.1.1	5868
5.1.2	6055
5.1.3	6150
5.1.4	8999
5.1.5	11219
5.2.0	7115
5.2.1	6326
5.2.2	7971
5.2.4	7448
5.3.0	15336
5.3.1	4715
5.4.0	9127
5.4.1	3106
5.4.2	10059
5.4.3	10944
5.4.4	8335
5.4.5	6779
5.5.0	5170
5.5.1	3406
5.5.2	3959
5.5.3	3948
5.5.4	16336
5.6.0	5203
5.7.0	3985
5.7.1	3575
5.7.4	3887
5.8.1	3980
5.8.2	3568
5.9.1	4131
5.10.0	9562
5.11.0	2901
5.11.1	3108
5.11.2	3228
5.12.1	2889
5.12.2	2893
5.12.3	3185
5.13.0	7123
5.14.0	4831
5.15.0	3294
5.16.0	3325
5.17.0	4531
5.18.0	3461
5.18.1	4460
5.19.0	3678
5.19.1	2971
5.19.2	3507
5.19.3	4326
5.20.0	3120
5.20.1	8654
5.21.0	3039
5.22.0	3066
5.22.1	4022
5.23.0	4313
5.24.0	3651
5.24.1	3017
5.24.2	3517
5.25.0	4303
5.26.0	4354
5.26.1	6564
5.27.4	4404
5.28.0	3522
5.29.0	3137
5.30.1	3701
5.30.2	3679
5.31.0	2859
5.31.1	4471
5.32.0	4280
5.32.1	2743
5.32.2	4675
6.0.0	3592
6.0.1	2903
6.0.2	5148
6.0.3	3183
6.0.5	8276
6.1.0	3635
6.1.1	3740
6.1.2	3775
6.2.0	2941
6.2.1	10069
6.3.0	5086
6.4.0	6282
6.4.1	6241
6.5.0	3163
6.5.1	3480
6.5.2	3046
6.5.3	3771
6.6.0	3336
6.6.1	8627
6.7.0	6024
6.8.0	5170
6.8.1	3244
6.8.2	2886
6.9.0	2705
6.9.1	6488
6.10.0	8100
6.11.0	2545
6.11.1	2539
6.12.0	2479
6.12.1	4303
6.12.2	3137
6.12.3	3667
6.13.0	2529
6.13.1	4798
6.14.0	1924
6.15.0	1976
6.15.1	2181
6.15.2	1763
6.15.3	2521
6.15.5	9690
7.0.0	3331
7.0.1	3043
7.0.2	2594
7.0.3	2650
7.0.4	5475
7.1.0	2720
7.1.1	6280
7.2.1	3972
7.3.0	3066
7.3.1	3269
7.3.2	4076
7.3.3	2782
7.3.4	4005
7.3.5	2372
7.3.6	4759
7.3.7	2855
7.3.8	6145
7.5.0	2960
7.6.0	2506
7.6.1	3807
7.6.2	3896
7.7.0	3531
7.8.0	3482
7.8.1	7064
7.8.2	6693
7.8.3	4616
7.8.5	6532
7.9.0	4336
7.11.0	2285
7.12.0	7729
7.12.1	10894
7.14.0	12386
7.14.1	2787
7.14.2	3632
7.15.1	3147
7.15.2	5011
7.16.0	11099
7.17.0	2602
7.17.1	7806
7.18.0	2413
7.18.1	6242
7.18.2	21446
7.19.0	2498
7.19.1	17007
7.20.0	7694
7.21.0	4901
7.22.0	10242
7.24.0	14790
7.24.2	7032
7.25.0	15976
7.25.1	1831
7.25.2	3638
7.25.3	28214
7.25.4	9301
7.26.0	12170
7.28.1	3153
7.28.2	3535
7.28.3	4419
7.29.0	2319
7.30.0	3983
7.30.1	9717
7.30.2	3940
7.31.0	5719
7.31.1	3343
7.32.0	4401
7.32.1	2172
7.32.2	3717
7.32.3	19890
7.32.4	118731
8.0.0	1275
8.0.1	2183
8.1.0	1283
8.1.1	1163
8.1.2	1138
8.1.3	1367
8.2.0	1208
8.2.1	1269
8.2.3	1564
8.3.2	1292
8.4.0	1134
8.4.1	1024
8.4.2	1380
8.4.3	1097
8.4.4	1067
8.4.6	1041
8.4.7	1236
8.4.8	1498
8.4.9	1021
8.4.11	1579
8.4.12	1569
8.5.1	1218
8.5.2	1175
8.5.3	1846
8.5.4	1241
8.5.5	1798
8.6.0	3042
8.7.0	1266
8.8.0	1180
8.9.0	1630
8.10.0	2473
8.10.4	1902
8.10.5	1084
8.10.6	2014
8.10.7	2563
8.10.8	6390
8.11.0	1463
8.11.1	1846
8.11.2	1029
8.11.3	4043
8.11.6	1603
8.12.0	3186
8.13.0	1663
8.14.0	6652
8.15.0	978
8.15.1	1068
8.15.2	2685
8.16.0	6403
8.17.0	996
8.18.0	1071
8.18.1	809
8.18.2	3535
8.20.1	634
8.20.3	3237
8.20.4	1271
8.20.5	2685
8.20.6	1427
8.20.7	661
8.21.0	1063
8.22.0	551
8.23.0	1069
8.23.1	734
8.23.2	948
8.24.0	1020
8.24.1	1665
8.25.0	1120
8.25.1	1182
8.25.2	1126
8.25.3	3850
8.25.4	837
8.25.5	13503
8.26.0	1549
8.27.0	296
8.27.1	9378
8.28.0	22970
8.29.0	956
8.29.1	194
8.29.2	831
8.29.3	611
8.30.0	7363
9.0.1	546
9.1.1	1710
9.1.2	951
9.1.3	1067
9.1.4	636
9.1.5	284
9.1.6	702
9.1.7	629
9.1.9	1198
9.1.10	393
9.1.11	304
9.2.0	534
9.3.0	1814
9.3.1	860
9.3.2	623
9.3.3	2133
9.3.4	1139
9.3.5	453
9.4.0	1240
9.4.1	723
9.5.0	630
9.5.1	4352
9.6.0	2143
9.6.1	628
9.6.2	6211
9.7.1	3098
9.8.0	4023
9.8.1	2148
9.8.2	817
9.9.0	8886
9.10.0	421
9.10.1	1412
9.11.0	145
9.11.1	843
9.11.2	1826
9.11.3	2262
9.11.4	901
9.11.5	572
9.11.6	989
9.11.7	485
9.11.8	477
9.12.0	2525
9.13.1	178
9.13.2	1266
9.13.3	853
9.13.4	4110
9.13.5	918
9.13.6	403
9.13.7	13381
9.14.0	1245
9.14.1	1867
9.14.3	957
9.14.4	603
9.14.5	8948
9.14.6	1185
9.14.7	163
9.14.8	961
9.15.0	1837
9.16.0	650
9.16.2	5499
9.16.3	8661
9.17.1	774
9.17.2	1726
9.17.3	1058
9.19.0	7831
9.20.0	172
