version	total
1.0	7804
2.0.0a1	13430
2.0.0a2	6991
2.0.0a3	6105
2.0.0a4	6191
2.0.0a5	6045
2.0.0a6	6064
2.0.0a7	6734
2.0.0a8	9044
2.0.0a9	6202
2.0.0a10	5721
2.0.0a11	5704
2.0.0	7084
2.0.1	5513
2.1.0	5147
2.2.0	6244
2.3.0	4820
2.3.1	5797
3.0.0	4743
3.0.1	4794
3.1.0	5223
3.2.0	4825
3.2.1	5826
3.2.2	7747
3.2.3	4903
3.3.0	6416
3.3.1	3023
3.4.0	2791
3.4.1	2995
3.5.0	6839
3.5.1	2857
4.0.0	3701
4.1.0	2720
4.1.1	2938
4.1.2	2755
4.2.0	2746
4.2.1	2865
4.2.2	3099
4.2.3	2672
4.2.4	2561
4.3.0	3674
4.4.0	3228
4.4.1	2176
4.4.2	2117
4.4.3	2546
4.5.0	3436
4.6.0	1904
4.6.1	4484
4.8.0	1736
4.8.1	1608
4.8.2	2947
4.8.3	2960
4.8.4	5113
4.8.5	1706
4.8.6	1304
4.8.7	1282
4.8.8	2077
4.8.9	1019
4.8.10	851
4.8.11	2762
4.8.12	492
4.8.14	5731
4.9.0	1831
4.9.2	793
4.9.3	721
4.9.4	2224
