version	total
2.0	3200
2.1	4119
2.2	3647
2.3	4053
2.4	3268
2.5	4097
2.6	3167
2.6.1	3134
2.7	3136
2.7.1	2257
2.7.2	2266
2.7.3	2255
2.7.4	2272
2.8.0	2604
2.8.1	2252
2.8.2	2217
2.8.3	2214
2.8.4	2552
2.8.5	2282
2.8.6	2331
2.8.8	2184
2.8.9	2194
2.8.10	3092
2.8.11	3082
2.8.12	4142
2.8.13	3192
2.8.14	4241
3.0.0	2173
3.0.1	2172
3.0.2	2164
3.0.3	2226
3.0.4	2458
3.0.5	2132
3.0.6	2132
3.0.7	2122
3.0.8	2712
4.0.0	2184
4.0.1	2170
4.0.2	2478
4.0.3	2263
4.1.0	2001
4.1.1	2547
4.2.0	2204
4.3.0	2133
4.4.0	1987
4.4.1	1616
4.4.2	2092
5.0.0	1468
5.0.1	1876
6.0.0	830
6.1.0	1185
6.2.0	1089
6.2.1	1252
6.3.0	1049
6.4.0	498
6.4.1	622
6.5.0	592
6.6.0	318
6.6.1	285
6.6.2	397
6.6.3	992
6.6.4	229
6.6.5	1149
6.6.6	709
6.7.0	822
