version	total
0.4.23	2962
0.4.35	2523
0.4.38	2555
0.4.56	2527
0.5.21	2862
0.5.37	2833
0.5.38	2792
0.5.43	3168
0.5.45	2787
0.5.46	2800
0.5.49	2823
0.7	10431
0.7.1	11014
0.7.2	11304
0.7.3	10783
0.7.4	2845
0.7.5	10741
0.7.6	2847
0.7.7	11133
0.7.8	11333
0.7.9	2844
0.7.10	10816
0.7.11	5848
0.7.13	10713
0.7.14	2675
0.7.15	2712
1.0.0	11113
1.0.1	10767
1.1.0	2714
1.1.1	3154
1.2.2	1667
1.2.3	1750
1.2.4	1005
1.2.5	1018
1.2.6	802
1.2.7	698
1.2.8	728
1.2.10	97
1.2.11	99
1.2.12	100
1.2.13	78
1.2.14	88
1.2.15	124
1.2.16	603
