version	total
1.0.2	2570
1.0.3	2571
1.0.4	2598
1.1.0	2550
1.1.1	2549
1.1.2	2551
1.1.3	2793
1.1.4	2553
1.2.0	2539
1.2.1	2543
1.2.2	2520
1.3.0	2461
1.4.0	2433
1.5.0	2448
1.5.1	2431
1.5.2	2437
1.6.0	2394
1.6.1	2406
1.6.2	2399
1.6.3	2358
1.6.4	2285
1.7.0	2217
1.7.1	2149
1.7.2	2135
1.7.3	2128
1.7.4	2175
1.7.5	2092
1.8.1	1996
1.8.2	1976
1.8.3	1961
1.8.4	1971
1.8.5	1956
1.8.6	1748
1.8.7	1744
1.8.8	1815
1.8.9	1644
1.8.10	1125
1.8.11	1093
1.8.12	1058
1.8.13	1051
1.8.14	1006
1.9.0	1497
1.10.0	1413
1.11.0	1385
1.11.1	1441
1.11.2	1356
1.12.0	1325
1.12.1	1144
1.12.2	1162
1.12.3	1029
1.13.0	962
1.13.1	1167
