version	total
1.0.1	4601
1.1.0	4440
1.1.1	4950
1.2.0	4328
1.2.1	4346
1.3.0	4257
1.3.1	4218
1.4.0	4176
1.4.1	4170
1.4.2	4161
1.4.3	4157
1.4.4	4164
1.5.0	4308
1.6.0	3990
1.6.1	3963
1.6.3	3928
1.6.4	4150
1.7.1	3786
1.7.2	3811
1.8.0	3777
2.0.0	3720
2.0.1	3651
2.1.0	3660
2.2.0	3604
2.2.1	4324
2.3.0	3668
2.4.0	3403
2.5.0	3460
2.5.1	3383
2.5.3	3395
2.5.4	3323
2.6.0	3386
2.6.1	3650
2.6.4	3123
2.6.5	3956
3.0.0	3084
3.0.1	3061
3.1.0	5583
3.2.0	3066
3.3.0	3065
3.3.1	3071
3.4.0	3114
3.5.0	2995
4.0.1	3021
4.1.0	3060
4.1.1	3010
4.1.2	2959
4.1.3	2983
4.3.0	2929
4.4.0	2913
4.4.1	2912
4.4.2	3334
4.4.3	2974
4.5.0	2992
4.6.0	2934
4.7.0	2909
4.8.0	2827
4.8.1	3254
4.9.0	5881
4.10.1	2772
4.11.0	2729
4.11.1	3107
4.11.2	3037
4.11.3	3039
4.11.4	2653
4.12.0	2561
5.0.0	2535
5.0.1	2254
5.0.2	2526
5.0.3	2663
5.1.0	2468
5.2.0	2483
5.3.0	3050
5.3.1	2617
5.3.3	2626
5.4.0	2171
5.4.1	2157
5.5.0	2125
5.6.0	2093
5.6.1	2080
5.6.2	2067
5.7.0	2025
5.8.0	2057
5.9.0	1769
5.9.1	1987
5.10.0	1958
6.0.0	2503
7.0.0	2080
8.0.0	1875
8.1.0	2349
8.1.1	2271
8.2.0	1792
8.3.0	2247
8.4.0	1570
8.4.1	1544
8.4.2	1776
8.4.3	1330
8.4.4	2435
8.4.5	1323
8.4.6	1528
8.4.7	1258
8.4.8	1153
8.4.9	1227
8.4.10	1099
8.4.11	1206
8.4.13	769
8.4.14	796
8.5.1	879
8.6.0	730
8.6.1	646
8.7.0	759
8.7.1	675
8.7.2	467
8.7.3	6773
8.7.4	623
8.8.0	1582
8.8.1	1625
8.8.2	1324
8.9.0	1351
8.9.1	1249
8.9.2	923
8.9.3	1135
8.9.4	786
8.9.5	922
