version	total
1.23.0	4254
1.24.0	5111
1.25.0	3890
1.26.0	3780
1.26.1	3681
1.27.0	3770
1.27.1	3674
1.28.0	3858
1.29.0	3499
1.30.0	3337
1.31.0	3580
1.32.0	3198
1.33.0	3191
1.34.0	2990
1.35.0	2887
1.36.0	2836
1.37.0	2694
1.38.0	2654
1.39.0	2671
1.40.0	4007
1.41.0	2275
1.42.0	2069
1.43.0	2387
1.44.0	2039
1.45.0	2015
1.46.0	2049
1.47.0	1866
1.48.0	1894
1.49.0	1790
1.50.0	1116
1.50.1	1281
1.51.0	765
1.52.0	717
1.53.0	538
1.54.0	494
1.55.0	607
1.56.0	1312
1.59.0	1423
1.60.0	855
1.61.0	2158
1.63.1	2778
1.65.0	1103
1.67.0	826
1.70.0	1365
