version	total
1.1.3	5126
1.9.5	5234
1.9.7	6564
1.10.2	5125
1.11.1	5350
2.0.0	10048
2.0.2	5501
2.0.3	14688
2.3.2	5508
2.3.4	6282
2.4.0	5890
2.4.3	6045
2.4.4	5885
2.5.0	7782
2.6.0	16528
2.7.0	262383
2.8.0	6273
2.8.1	5094
2.8.2	5027
2.8.3	5873
2.8.5	5034
2.9.0	4991
2.9.1	5395
2.10.0	4871
2.10.1	4884
2.10.2	4894
2.10.3	4995
2.10.4	6338
2.11.1	5509
2.13.0	4802
2.13.1	4776
2.13.3	6410
2.13.4	5683
2.13.6	5461
2.13.7	4577
2.14.0	4597
2.14.1	5659
2.14.2	6082
2.15.0	5904
2.15.1	6874
2.15.2	12955
2.16.0	3258
2.17.0	6223
2.17.1	5569
2.18.0	7477
2.19.0	2753
2.20.0	2595
2.20.1	2599
2.21.0	2695
2.21.1	69296
2.21.2	22143
2.22.1	178010
2.23.0	10913
2.24.0	1951
2.25.0	1548
2.26.0	1290
2.26.1	1965
2.27.0	4164
2.27.1	1653
2.28.1	8094
2.29.0	1734
2.29.1	5667
2.29.2	1721
2.29.3	940
2.29.4	887
2.30.0	6815
2.30.1	2922
2.30.2	447
