version	total
1.2.7	1612
1.2.8	1529
1.3.1	1439
1.3.2	1421
1.3.3	1409
1.3.4	1261
1.3.5	1412
1.3.6	1430
1.3.7	1324
1.3.8	1329
1.3.9	1304
1.3.10	1225
1.3.11	1216
1.3.12	1122
1.3.14	1115
1.3.15	1111
1.3.16	1112
1.3.17	1050
1.3.18	997
1.3.19	894
1.3.20	892
1.4.1	759
1.4.2	732
1.4.3	726
1.4.4	731
1.4.5	795
1.4.7	727
1.4.8	726
1.4.9	922
1.4.10	888
1.4.11	678
1.4.12	719
1.5.0	488
1.5.1	709
1.5.2	495
1.5.3	497
1.5.4	484
1.5.5	496
1.5.6	452
1.5.7	456
1.5.8	431
1.5.9	325
1.5.10	171
1.5.11	177
1.5.12	160
1.5.13	179
1.5.14	125
1.5.15	128
1.5.16	131
1.5.17	140
1.5.19	129
1.6.1	169
1.6.2	387
1.6.3	190
1.6.4	175
1.6.5	266
1.6.7	200
1.6.8	169
1.6.9	1073
1.6.10	461
